128	T3	thin	"He might know someone who supports Turkiye"
139	G	generic	company away-day / performance review - workplace cliche, no named anchor
144	T3	filler	"It is one of those games worth watching together"
146	T1	assumes	"He will have Costinha highlights playing before dinner"
147	T3	unverified	"Spain had gone 2,500 passes without a World Cup goal" - unsourced stat
148	T1	assumes	"He's been watching this manager search play out"
150	T1	assumes	"He's been checking the team news"
152	STALE	wrong-club	Leicester content in June 2026 - not a Premier League club
152	G	mismapped	analogy calls Russell Martin "her" (the nail tech mapping breaks)
152	T1	condesc	"He'll be looking up Russell Martin's record tonight. Let him."
153	T1	assumes	"He'll have opinions on Iraola's transfer targets"
153	T2	assumes	"He'll have a full analysis ready"
155	T3	unverified	repeats the unsourced "2,500 passes" stat
161	T3	tone	"watch him act like he had no doubts about it all along" - mocks the partner
164	G	mismapped	"Kante's her" - the analogy genders a male player as a woman
170	H	blank	pre-match fixture card: no headline, no girl ref, one templated point
171	H	blank	pre-match fixture card
172	H	blank	pre-match fixture card
173	H	blank	pre-match fixture card
174	H	blank	pre-match fixture card
175	H	blank	pre-match fixture card
175	T1	dup	"Text him big one coming up? and let him run with it" - used 16 times
176	H	blank	pre-match fixture card
177	H	blank	rival-result card
178	H	blank	rival-result card
181	STALE	wrong-club	Ipswich were a Championship club in June 2026
187	G	generic	"no formal training vs people who went to Oxford" - no named anchor, class-coded
188	T2	assumes	"He's been watching England's defensive setup closely"
189	G	generic	boss/KPI/contract - workplace cliche, no named anchor
193	T3	copywriter	"The BBC has the full story" - sourcing note, not a talking point
